depto,santos,santos_p,zuluaga,zuluaga_p,blanco,total_votos
Amazonas,6971,44,8490,53,426,15887
Antioquia,704585,34,1139007,56,124919,2048043
Arauca,37892,50,36320,47,2277,76489
Atlántico,542942,77,139389,20,11727,701949
Bogotá,1341963,51,1076816,41,135053,2631907
Bolívar,310048,57,212655,39,11789,541508
Boyacá,187369,38,264670,54,18454,488838
Caldas,131239,32,239148,59,19860,407177
Caquetá,34618,32,67667,63,4314,106599
Casanare,25141,18,106299,78,5334,136774
Cauca,310642,72,107650,25,12205,430497
Cesar,200452,61,123556,37,6908,330916
Chocó,61852,61,32889,33,2588,100684
Consulados,43869,40,64028,58,2859,110756
Córdoba,376652,63,206393,34,8637,599892
Cundinamarca,370791,40,486063,52,39076,931287
Guainía,4274,54,3356,42,201,7922
Guaviare,10055,45,10832,49,802,22266
Huila,95987,25,262807,69,11976,380593
La Guajira,120033,70,45848,27,2806,170863
Magdalena,259428,67,117246,30,6198,387863
Meta,105778,33,205526,64,11855,323159
Nariño,345485,65,163932,31,13396,534344
Norte de Santander,239215,50,219904,46,16306,475425
Putumayo,57874,66,26397,30,2811,87082
Quindío,98408,45,110533,50,11353,220294
Risaralda,149676,41,192785,53,21629,364090
San Andrés y Providencia,5781,53,4714,43,369,10864
Santander,428952,53,347962,43,29928,806842
Sucre,199249,60,126955,38,5408,331612
Tolima,184496,36,296610,58,17780,514868
Valle del Cauca,831748,60,459146,33,58960,1388874
Vaupés,4149,69,1649,28,93,5982
Vichada,6452,46,7079,50,335,14070
Total,7839342,50,6917001,44,618759,15818214
