consulta,candidato,votos,tot_mpio,p_mpio,depto,cod_depto,municipio,cod_mun
Derecha,Ivan_Duque,312358,497273,62.81418858,ANTIOQUIA,5,MEDELLIN,5001
Derecha,Marta_L_Ramirez,97589,497273,19.62483384,ANTIOQUIA,5,MEDELLIN,5001
Derecha,Alejandro_Ordonez,21766,497273,4.377072554,ANTIOQUIA,5,MEDELLIN,5001
Izquierda,Gustavo_Petro,49778,497273,10.01019561,ANTIOQUIA,5,MEDELLIN,5001
Izquierda,Carlos_Caicedo,15782,497273,3.173709411,ANTIOQUIA,5,MEDELLIN,5001
Derecha,Ivan_Duque,1346,1696,79.36320755,ANTIOQUIA,5,ABEJORRAL,5002
Derecha,Marta_L_Ramirez,189,1696,11.14386792,ANTIOQUIA,5,ABEJORRAL,5002
Derecha,Alejandro_Ordonez,33,1696,1.945754717,ANTIOQUIA,5,ABEJORRAL,5002
Izquierda,Gustavo_Petro,77,1696,4.54009434,ANTIOQUIA,5,ABEJORRAL,5002
Izquierda,Carlos_Caicedo,51,1696,3.007075472,ANTIOQUIA,5,ABEJORRAL,5002
Derecha,Ivan_Duque,335,461,72.6681128,ANTIOQUIA,5,ABRIAQUI,5004
Derecha,Marta_L_Ramirez,102,461,22.12581345,ANTIOQUIA,5,ABRIAQUI,5004
Derecha,Alejandro_Ordonez,17,461,3.687635575,ANTIOQUIA,5,ABRIAQUI,5004
Izquierda,Gustavo_Petro,4,461,0.867678959,ANTIOQUIA,5,ABRIAQUI,5004
Izquierda,Carlos_Caicedo,3,461,0.650759219,ANTIOQUIA,5,ABRIAQUI,5004
Derecha,Ivan_Duque,506,711,71.1673699,ANTIOQUIA,5,ALEJANDRIA,5021
Derecha,Marta_L_Ramirez,127,711,17.86216596,ANTIOQUIA,5,ALEJANDRIA,5021
Derecha,Alejandro_Ordonez,19,711,2.672292546,ANTIOQUIA,5,ALEJANDRIA,5021
Izquierda,Gustavo_Petro,47,711,6.610407876,ANTIOQUIA,5,ALEJANDRIA,5021
Izquierda,Carlos_Caicedo,12,711,1.687763713,ANTIOQUIA,5,ALEJANDRIA,5021
Derecha,Ivan_Duque,2186,3177,68.80705068,ANTIOQUIA,5,AMAGA,5030
Derecha,Marta_L_Ramirez,633,3177,19.92445703,ANTIOQUIA,5,AMAGA,5030
Derecha,Alejandro_Ordonez,61,3177,1.920050362,ANTIOQUIA,5,AMAGA,5030
Izquierda,Gustavo_Petro,245,3177,7.711677683,ANTIOQUIA,5,AMAGA,5030
Izquierda,Carlos_Caicedo,52,3177,1.636764243,ANTIOQUIA,5,AMAGA,5030
Derecha,Ivan_Duque,910,1513,60.14540648,ANTIOQUIA,5,AMALFI,5031
Derecha,Marta_L_Ramirez,301,1513,19.89424983,ANTIOQUIA,5,AMALFI,5031
Derecha,Alejandro_Ordonez,140,1513,9.253139458,ANTIOQUIA,5,AMALFI,5031
Izquierda,Gustavo_Petro,123,1513,8.129543952,ANTIOQUIA,5,AMALFI,5031
