partido,	2018_votos,	2018_votos_propocion,	2018_curules
Liberal,	2471075	,16.63,	35
Centro Democrático,	2377163,	16,	32
Cambio Radical,	2140183,	14.4,	30
Unidad Nacional,	1838358,	12.37,	25
Conservador,	1819212,	12.24,	21
Alianza Verde,	882725,	5.94,	9
MIRA,	583081,3.92,	2
Polo Democrático Alternativo,	444386,	2.99,	2
Opción Ciudadana,	310628,	2.09,	2
"Coalición lista de la decencia (ASI,UP,MAS)",	262282,	1.76,	2
Colombia Justa Libres,	114174,	0.76,	1
Coalición Alternativa Santandereana,	71953,	0.48,	1
MAIS,	44034,	0.29,	1
Votos_Nulos,	1650940,	NA,	NA
Votos_Blanco,	805262,	NA,	NA
Votos_NoMarcados,	543696,	NA,	NA
Lista o Partido,	14047747,	NA,	163
Camara_Total,	17872988,	NA,	177
