n,encuestadora,fecha,muestra,tasa_respuesta,alejandro_ordonez,german_vargas_lleras,gustavo_petro,humberto_delacalle,ivan_duque,juan_carlos_pinzon,marta_lucia_ramirez,piedad_cordoba,sergio_fajardo,rodrigo_londono,carlos_caicedo,otros,blanco,ns/nr,margen_error,fuente,link,muestreo,hipotesis,tipo,muestra_int_voto,municipios
1,Invamer,2017-05-11,1200,39,4.9,21.5,14.2,5.4,NA,2.4,6.5,2.8,10,NA,NA,NA,6.3,ND,3.6,"Caracol TV, Blu Radio, Semana",https://static.iris.net.co/semana/upload/documents/gran-encuesta-mayo-17.pdf,"Estratificado por departamento, Adultos",NA,Presencial,728,58
2,"Cifras & Conceptos",2017-05-21,1769,NA,6,14,13,4,2,NA,3,NA,5,NA,NA,6,NA,22,5,"Caracol Radio, Red+ Noticias",https://drive.google.com/file/d/0ByvFYxFEUt1qUXpDN192V3VBZjA/view,"Estratificado por ciudades, Adultos",Proporciones > 20%,Presencial,1769,11
3,Datexco,2017-05-26,900,NA,1.1,16.5,7.6,1.5,0.9,1.2,2.6,1.9,12.1,NA,NA,4.2,NA,31.3,3.3,"El Tiempo, W Radio",http://images.etn.eltiempo.digital/uploads/files/2017/05/28/Inf11360%20-El%20Tiempo%20-%20La%20W%20-%20Pulso%20Pais%20Colombia%2025a%20Medicion%20Abril%20-%20Mayo%20de%202017%20-%20Pro445-.pdf,"Estratificado por departamentos, Adultos",Proporciones > 50%,Telefonica,900,NA
4,Guarumo,2017-07-14,1285,NA,NA,15.1,14.2,3.1,17.4,0.9,2.5,NA,8.8,NA,NA,NA,8.2,6.8,3,"El Tiempo, W Radio",http://www.wradio.com.co/docs/20170717779155c1.pdf,"Estratificado por regiones, Votantes",Proporciones > 50%,Presencial,1285,29
5,"Cifras & Conceptos",2017-07-30,1800,NA,6,13,13,3,2,2,1,NA,8,NA,NA,6,NA,17,5,"Caracol Radio, Red+ Noticias",http://cifrasyconceptos.com/wp-content/uploads/2017/08/Presentaci%C3%B3n-final-Polim%C3%A9trica-agosto_v2.pdf?8ab3a8,"Estratificado por ciudades, Adultos",Proporciones > 20%,Presencial,1800,11
6,Datexco,2017-07-31,900,NA,0.6,5.3,14.3,2.5,0.4,2.2,2.5,1.8,10.3,NA,NA,4.1,NA,31.4,3.3,"El Tiempo, W Radio",http://images.etn.eltiempo.digital/uploads/files/2017/08/02/Encuesta%20Pulso%20Pais%20-%20JunioJulio%202017.pdf,"Estratificado por departamentos, Adultos",Proporciones > 50%,Telefonica,900,NA
7,Datexco,2017-09-05,900,NA,2.1,6.7,11.2,3.4,1.3,1.7,2.7,1.3,9.6,NA,NA,5,NA,29.9,3.3,"El Tiempo, W Radio",http://images.etn.eltiempo.digital/uploads/files/2017/09/11/Encuesta%20Pulso%20Pais%20-%20Medicion%20Agosto%20de%202017.pdf,"Estratificado por departamentos, Adultos",Proporciones > 50%,Telefonica,900,NA
8,Guarumo,2017-09-08,1657,NA,2,8.3,10.1,3.9,7.8,1.6,2.1,0.5,6.9,NA,NA,7.4,20.7,6.2,2.6,"El Tiempo, W Radio",https://www.elespectador.com/sites/default/files/pdf-file/presentacion_resultados_elecciones_presidenciales_130917.pdf,"Estratificado por regiones, Votantes",Proporciones > 50%,Presencial,1657,NA
9,YanHaas,2017-09-16,1250,NA,3,11,9,2,1,1,2,2,7,NA,NA,4.8,23,13,3.3,RCN,http://www.noticiasrcn.com/sites/default/files/granencuesta2017.pdf,"Estratificado por municipios, Adultos",Proporciones > 50%,Presencial,1250,60
10,Invamer,2017-09-22,1200,52,3.1,12.5,10.4,8.3,6.9,1.2,4.6,1.4,21,NA,NA,NA,2.1,8.2,3.6,"Caracol TV, Blu Radio, Semana",https://www.scribd.com/document/360199856/0485-17000810-ELECCIONES-2018-2-VF,"Estratificado por departamento, Adultos",NA,Presencial,711,58
11,"Cifras & Conceptos",2017-09-26,1795,NA,2,14,17,10,2,1,2,1,15,NA,2,1,NA,14,4.5,"Caracol Radio, Red+ Noticias",http://cifrasyconceptos.com/wp-content/uploads/2017/11/Presentaci%C3%B3n-final-Polim%C3%A9trica-noviembre_SIN-SENADO_v2.pdf?8ab3a8,"Estratificado por ciudades, Adultos",Proporciones > 25%,Presencial,1795,11
12,Invamer,2017-11-29,1200,49,1.2,12,14.3,9.1,8.4,0.9,8.7,2.2,18.7,2.1,NA,NA,6,NA,3,Blu radio,http://www.semana.com/nacion/articulo/gran-encuesta-diciembre-2017-sergio-fajardo-lidera-intencion-de-voto-en-la-gran-encuesta/549743,"Estratificado por departamento, Adultos",NA,Presencial,663,57
