n,fecha,encuestadora,muestra,si,no,abstencion,margen_error,fuente,ficha
1,2016-07-07,Ipsos,ND,56,39,ND,ND,Informador,ND	
2,2016-08-07,Ipsos,1000,39,50,11,3.1,Notcias RCN,"http://www.noticiasrcn.com/sites/default/files/if-16-012871-05-_colombia_opina_2016_m3_-_v1.pdf"
3,2016-08-18,Invamer,1200,67,32.5,ND,5,Noticias Caracol,"http://media.caracoltv.co/Noticias/ENCUESTA%20PLEBISCITO.pdf"
4,2016-08-26,Datexco,700,39.2,27.7,10.5,3.7,El Tiempo,"http://www.eltiempo.com/politica/proceso-de-paz/encuesta-sobre-plebiscito-por-la-paz-34086"
5,2016-09-02,Cifras&Conceptos,2305,62,28,10,2.2,Caracol Radio,"http://caracol.com.co/programa/2016/09/02/6am_hoy_por_hoy/1472816572_060253.html"
6,2016-09-02,Datexco,ND,59.5,33.2,4.7,2.1,El País,ND
7,2016-09-08,Ipsos,799,72,28,ND,3.5,Revista Semana,"http://static.iris.net.co/semana/upload/documents/if-16-013519-01--plebiscito---v1-1.pdf"
8,2016-09-09,Datexco,2109,64.8,28,11,2.1,El Tiempo,"http://www.eltiempo.com/politica/proceso-de-paz/encuesta-de-datexco-sobre-el-plebiscito-44807"
9,2016-09-16,Datexco,2109,55.3,38.3,6.4,2.1,El Tiempo,"http://www.eltiempo.com/politica/proceso-de-paz/intencion-de-voto-en-el-plebiscito-por-el-si-y-el-no-37920"
10,2016-09-20,Invamer,1200,67.6,32.4,ND,5,Noticias Caracol,"http://media.caracoltv.co/Noticias/ENCUESTA%20GALLUP%20PLEBISCITO%20SEPTIEMBRE.pdf"
11,2016-09-23,Cifras&Conceptos,3007,54,34,12,2,Caracol Radio,"http://caracol.com.co/programa/2016/09/23/6am_hoy_por_hoy/1474630703_980326.html"
12,2016-09-27,Datexco,2109,55,36.6,8.4,2.1,El Tiempo,"http://www.eltiempo.com/contenido/politica/proceso-de-paz/ARCHIVO/ARCHIVO-16712481-0.pdf"
13,2016-09-27,Cifras&Conceptos,ND,62,38,ND,3.8,Caracol Radio,ND	
14,2016-09-27,Ipsos,851,66,34,ND,3.5,Revista Semana,"http://static.iris.net.co/semana/upload/documents/if-16-069542-01--plebiscito-para-la-paz-medicion-2--v1.pdf"
15,2016-10-02,Resultado,13066047,49.79,50.21,62.6,ND,Registraduria,"https://es.wikipedia.org/wiki/Plebiscito_sobre_los_acuerdos_de_paz_de_Colombia_de_2016"
