parametro,id4cast
p1,53%
p1,54%
p1,53%
p1,54%
p1,52%
p1,53%
p1,54%
p1,5%
p1,5%
p1,52%
p1,53%
p1,53%
p1,55%
p1,52%
p1,55%
p1,55%
p1,54%
p1,52%
p1,54%
p1,54%
p1,53%
p1,53%
p1,54%
p1,53%
p1,53%
p1,53%
p1,54%
p1,53%
p1,51%
p1,54%
p1,52%
p1,53%
p1,52%
p1,52%
p1,53%
p1,55%
p1,52%
p1,54%
p1,54%
p1,5%
p1,53%
p1,5%
p1,53%
p1,54%
p1,54%
p1,55%
p1,54%
p1,53%
p1,53%
p1,53%
p1,52%
p1,53%
p1,55%
p1,51%
p1,52%
p1,52%
p1,52%
p1,53%
p1,54%
p1,52%
p1,51%
p1,52%
p1,53%
p1,54%
p1,53%
p1,53%
p1,54%
p1,54%
p1,53%
p1,54%
p1,53%
p1,52%
p1,52%
p1,54%
p1,53%
p1,53%
p1,54%
p1,51%
p1,51%
p1,54%
p1,53%
p1,54%
p1,53%
p1,54%
p1,52%
p1,5%
p1,54%
p1,52%
p1,54%
p1,51%
p1,53%
p1,52%
p1,55%
p1,52%
p1,51%
p1,5%
p1,53%
p1,53%
p1,52%
p1,53%
p1,1%
p1,52%
p1,53%
p1,54%
p1,53%
p1,54%
p1,53%
p1,54%
p1,54%
p1,52%
p1,1%
p1,52%
p1,54%
p1,53%
p1,55%
p1,51%
p1,52%
p1,52%
p1,52%
p1,52%
p1,51%
p1,53%
p1,52%
p1,55%
p1,53%
p1,52%
p1,55%
p1,5%
p1,52%
p1,53%
p1,5%
p1,53%
p1,54%
p1,54%
p1,54%
p1,54%
p1,52%
p1,53%
p1,5%
p1,56%
p1,52%
p1,5%
p1,5%
p1,52%
p1,52%
p1,53%
p1,53%
p1,52%
p1,53%
p1,54%
p1,52%
p1,54%
p1,55%
p1,53%
p1,5%
p1,53%
p1,54%
p1,52%
p1,52%
p1,53%
p1,5%
p1,53%
p1,55%
p1,53%
p1,52%
p1,52%
p1,52%
p1,53%
p1,53%
p1,52%
p1,5%
p1,53%
p1,53%
p1,53%
p1,52%
p1,54%
p1,5%
p1,5%
p1,54%
p1,52%
p1,53%
p1,51%
p1,53%
p1,53%
p1,54%
p1,53%
p1,53%
p1,52%
p1,53%
p1,54%
p1,5%
p1,52%
p1,53%
p1,53%
p1,54%
p1,51%
p1,53%
p1,53%
p1,51%
p1,54%
p1,52%
p1,54%
p1,52%
p1,53%
p1,52%
p1,54%
p1,53%
p1,54%
p1,54%
p1,52%
p1,55%
p1,54%
p1,53%
p1,51%
p1,52%
p1,53%
p1,52%
p1,54%
p1,5%
p1,53%
p1,1%
p1,53%
p1,55%
p1,5%
p1,53%
p1,51%
p1,53%
p1,54%
p1,55%
p1,54%
p1,54%
p1,54%
p1,52%
p1,52%
p1,52%
p1,53%
p1,54%
p1,53%
p1,53%
p1,52%
p1,51%
p1,54%
p1,52%
p1,54%
p1,5%
p1,5%
p1,54%
p1,53%
p1,52%
p1,52%
p1,53%
p1,54%
p1,52%
p1,52%
p1,55%
p1,51%
p1,54%
p1,53%
p1,1%
p1,54%
p1,54%
p1,53%
p1,52%
p1,54%
p1,54%
p1,54%
p1,53%
p1,54%
p1,52%
p1,53%
p1,5%
p1,53%
p1,53%
p1,54%
p1,54%
p1,54%
p1,53%
p1,55%
p1,52%
p1,55%
p1,53%
p1,53%
p1,53%
p1,54%
p1,53%
p1,53%
p1,54%
p1,5%
p1,52%
p1,54%
p1,54%
p1,53%
p1,53%
p1,52%
p1,54%
p1,54%
p1,52%
p1,53%
p1,54%
p1,52%
p1,52%
p1,52%
p1,52%
p1,53%
p1,54%
p1,54%
p1,53%
p1,52%
p1,53%
p1,53%
p1,53%
p1,55%
p1,54%
p1,52%
p1,53%
p1,53%
p1,54%
p1,53%
p1,53%
p1,54%
p1,5%
p1,5%
p1,54%
p1,55%
p1,5%
p1,1%
p1,52%
p1,53%
p1,5%
p1,52%
p1,53%
p1,53%
p1,53%
p1,53%
p1,52%
p1,52%
p1,55%
p1,53%
p1,53%
p1,54%
p1,54%
p1,52%
p1,55%
p1,52%
p1,53%
p1,54%
p1,51%
p1,54%
p1,54%
p1,5%
p1,52%
p1,53%
p1,53%
p1,52%
p1,51%
p1,52%
p1,53%
p1,53%
p1,53%
p1,53%
p1,5%
p1,54%
p1,53%
p1,55%
p1,55%
p1,54%
p1,54%
p1,53%
p1,53%
p1,52%
p1,54%
p1,5%
p1,53%
p1,54%
p1,5%
p1,53%
p1,5%
p1,5%
p1,51%
p1,52%
p1,54%
p1,5%
p1,5%
p1,53%
p1,52%
p1,52%
p1,54%
p1,55%
p1,52%
p1,54%
p1,53%
p1,53%
p1,53%
p1,6%
p1,53%
p1,52%
p1,53%
p1,53%
p1,53%
p1,52%
p1,5%
p1,52%
p1,53%
p1,54%
p1,54%
p1,54%
p1,54%
p1,52%
p1,54%
p1,5%
p1,54%
p1,53%
p1,53%
p1,55%
p1,52%
p1,55%
p1,54%
p1,54%
p1,52%
p1,54%
p1,53%
p1,51%
p1,52%
p1,52%
p1,54%
p1,53%
p1,5%
p1,53%
p1,52%
p1,5%
p1,1%
p1,53%
p1,54%
p1,53%
p1,52%
p1,54%
p1,52%
p1,55%
p1,54%
p1,5%
p1,55%
p1,6%
p1,5%
p1,54%
p1,52%
p1,55%
p1,54%
p1,53%
p1,5%
p1,54%
p1,53%
p1,53%
p1,52%
p1,53%
p1,51%
p1,53%
p1,52%
p1,55%
p1,54%
p1,52%
p1,53%
p1,54%
p1,5%
p1,51%
p1,52%
p1,53%
p1,53%
p1,54%
p1,54%
p1,52%
p1,54%
p1,52%
p1,52%
p1,5%
p1,54%
p1,53%
p1,53%
p1,5%
p1,54%
p1,53%
p1,52%
p1,55%
p1,53%
p1,54%
p1,50%
p1,53%
p1,53%
p1,52%
p1,52%
p1,54%
p1,54%
p1,54%
p1,5%
p1,1%
p1,52%
p1,51%
p1,52%
p1,54%
p1,54%
p1,5%
p1,53%
p1,53%
p1,52%
p1,54%
p1,54%
p1,54%
p1,53%
p1,52%
p1,53%
p1,53%
p1,52%
p1,52%
p1,53%
p1,53%
p1,53%
p1,53%
p1,51%
p1,53%
p1,5%
p1,55%
p1,53%
p1,5%
p1,52%
p1,54%
p1,54%
p1,5%
p1,5%
p1,52%
p1,53%
p1,53%
p1,54%
p1,1%
p1,53%
p1,54%
p1,54%
p1,52%
p1,53%
p1,53%
p1,54%
p1,54%
p1,52%
p1,52%
p1,54%
p1,52%
p1,51%
p1,5%
p1,53%
p1,53%
p1,5%
p1,1%
p1,55%
p1,54%
